Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
Trios LMS Finswell,pune,"Office No. 1002, 10th Floor, Finswell, Sakore Nagar, Viman Nagar, Near Bajaj Finserv, Pune, India - 411014",Sagar Subhedar,Maharashtra,viman nagar,700,platinum,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup""]",12000,0,30000,platinum,Trios LMS Finswell,3.6,316,89,"Day Pass, Flexi Desk, Private Cabin"
Trios-Wakad,pune,"Office No. 702, White Square, Wakad, Hinjawadi, Pune",Sagar Subhedar,Maharashtra,hinjawadi,700,platinum,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Food"",""Power Backup""]",7500,0,0,platinum,Trios-Wakad,4.0,29,23,"Day Pass, Flexi Desk"
Growork,hyderabad,"Western Aqua, Whitefields, HITEC City, Kondapur, Telangana 500081, India",Praveen reddy ,Telangana,whitefields,0,standard,live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""F&B Cafe"",""Food"",""Power Backup""]",8900,0,14500,platinum+,Growork,4.4,273,8,"Flexi Desk, Private Cabin"
Spacion,hyderabad,"Level 4 Corporate Court, Wing B Survey No. 115/1, Survey No. 115/29, Financial District, Nanakramguda, Telangana 500032, India",Jyothi,Telangana,financial district,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",10000,0,0,platinum,Spacion-II,4.9,161,91,Flexi Desk
Spacion,hyderabad,"Level 1,2 & 5, Spacion Towers, next to The Westin Hotel Road, Vittal Rao Nagar, HITEC City, Hyderabad, Telangana 500081, India",Jyothi,Telangana,vittal rao nagar,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,9000,standard,Spacion,4.0,467,80,Private Cabin
Desk 26,surat,"Green Palladia, 346-348 and 446-448, opp. Raj World Road, near Gaurav Path Road, Palanpur, Surat, Gujarat 395009, India",Kalpesh Mody,Gujarat,palanpur,0,standard,live,"[""Wifi"",""Stationary"",""Power Socket"",""Tea/Coffee"",""Reception"",""F&B Cafe"",""Power Backup""]",0,0,2125,gold,Desk 26,4.4,442,95,Private Cabin
iSprout Profound,hyderabad,"Modern Profound Tech Park, Office No. 201, Second Floor, Survey No 3, Kondapur, Hyderabad, Telangana 500032.",Vibhuti Jain,Telangana,whitefields,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Reception""]",0,0,10000,standard,iSprout Profound,4.1,310,44,Private Cabin
iSprout Purva Summit,hyderabad,"Purva Summit, A Block, 2nd Floor, Whitefields, HITEC City, Hyderabad, Telangana 500081.",Vibhuti Jain,Telangana,hitec city,0,standard,live,"[""Parking"",""Wifi"",""24*7 Access"",""Reception""]",0,0,10500,platinum,iSprout Purva Summit,3.6,151,9,Private Cabin
Neohub,lucknow,"TC-212, 2nd Floor, Levana, Levana, Cyber Heights, opposite Indira Gandhi Pratishthan, Vijaipur Colony, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",Himanshu Yadav,Uttar Pradesh,vibhuti khand,0,standard,not live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Tea/Coffee"",""Common Area"",""Reception"",""Food"",""Power Backup""]",8000,9000,8000,gold,Neohub,4.1,283,89,"Flexi Desk, Dedicated Desk, Private Cabin"
iSprout Sohini,hyderabad,"SurveyNo.142, Vamishiramguda Village, Oppst Phoenix Golf View, Srilingampally Mandal Hyderabad 500032.",Vibhuti Jain,Telangana,financial district,0,standard,live,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Common Area"",""Reception""]",0,0,11500,platinum,iSprout Sohini,4.8,323,72,Private Cabin
iSprout Kochar Jade,chennai,"BLOCK NO.5, Kochar Jade, PLOT NO. SP 22 ,T-S NO.25, THIRU.VI.KA.INDUSTRIAL ESTATE, GUINDY, CHENNAI,Tiruvallur, Tamil Nadu, 600032",Neelam,Tamil Nadu,guindy,0,standard,live,[],0,0,11500,platinum,iSprout Kochar Jade,4.8,190,52,Private Cabin
Coworq,surat,"612, SNS Platina, Behind JH Ambani School Vesu, Near, Someshwara Enclave, Surat, Gujarat 395007",Vrajal,Gujarat,vesu,0,standard,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Services(Courier/Admin)"",""Tea/Coffee"",""Meeting Room"",""Services(HR/Admin/IT/Virtual Address)"",""Power Backup""]",0,8000,0,standard,Coworq,4.5,383,31,Dedicated Desk
iSprout SMT,chennai,"5th and 6th Floor, Perugundi Seevaram Village, Sholinganllur, Taluk Rajiv Gandhi Salai, OMR, Chennai 600096",Vibhuti Jain,Tamil Nadu,perungudi,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""24*7 Access"",""Common Area"",""Reception""]",0,0,11500,platinum,iSprout SMT,3.9,223,58,Private Cabin
iSprout Pune,pune,"Fourth Floor, Panchshil Tech Park, located at village Hinjewadi, Taluka Mulshi(Dist), Pune - 411057.",Vibhuti Jain,Maharashtra,hinjawadi,0,standard,live,"[""Parking"",""Wifi"",""Tea/Coffee"",""24*7 Access"",""Common Area"",""Reception"",""Power Backup""]",0,0,10500,platinum,iSprout Pune,3.7,434,70,Private Cabin
iSprout Amaravati,vijayawada,"FMW2+H96, NH 16 Service Rd, Chandra Mouli Puram, Sriram Nagar, Benz Circle, Vijayawada, Andhra Pradesh 520010, India",Vibhuti Jain,Andhra Pradesh,benz circle,0,standard,live,"[""Wifi"",""Tea/Coffee"",""24*7 Access"",""Reception"",""F&B Cafe"",""Power Backup""]",0,0,10500,platinum,iSprout Amaravati,3.7,365,24,Private Cabin
24 CoWork Studio,delhi nct,"67/3, S Swaran Singh Bhandari Marg, Block B, Zamrudpur, Greater Kailash, New Delhi, Delhi 110048, India",,Delhi (NCT),greater kailash,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Reception"",""Power Backup"",""Printer/Scanner"",""Services(Courier/Admin)"",""Common Area"",""Meeting Room"",""Food""]",0,0,12500,standard,24 CoWork Studio,4.7,340,76,Private Cabin
Kaizen Coworks,kozhikode,"58/1617, S Beach Rd, Kuttichira, Kozhikode, Kerala 673001, India",Sudheesh ,Kerala,kuttichira,350,silver,live,"[""Wifi"",""Tea/Coffee"",""Common Area"",""Gaming Room"",""Food"",""Power Backup"",""Printer/Scanner"",""Services(Courier/Admin)"",""Power Socket"",""Meeting Room"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""Reception""]",3750,0,4250,gold,Kaizen Coworks,4.7,304,54,"Day Pass, Flexi Desk, Private Cabin"
Gopalan Coworks,bengaluru,"148, Near Old Tollgate Bus Stop Sirsi circle, Mysore Rd, Old Guddadahalli, Guddadahalli, Bengaluru, Karnataka 560026, India",Nandhitha,Karnataka,guddadahalli,0,standard,live,"[""Parking"",""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Food"",""Power Backup""]",8499,0,0,platinum,Gopalan Coworks,4.1,415,100,Flexi Desk
KUBZ,kakkanad,"KUBZ Coworking & Office Space, 2115, Padamugal - Palachuvadu Rd, Satellite Twp, Padamughal, Kakkanad, Kerala 682037, India",Harri Joseph,Kerala,padamughal,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",4500,0,5500,gold,KUBZ,4.5,448,53,"Flexi Desk, Private Cabin"
Zen Coworks,delhi nct,"C177 Defence Colony LGF, Block C, Defence Colony, New Delhi, Delhi 110024, India",Mr. Arnav Shankar,Delhi (NCT),defence colony,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,13500,standard,Zen Coworks,4.9,455,40,Private Cabin
Zen Coworks-I,delhi nct,"D65, Block D, Defence Colony, New Delhi, Delhi 110024, India",Mr. Arnav Shankar,Delhi (NCT),defence colony,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,13500,standard,Zen Coworks-I,4.1,149,5,Private Cabin
Zen Coworks-II,delhi nct,"C585, Defence Colony, Block C, Defence Colony, New Delhi, Delhi 110024, India",Arnav ,Delhi (NCT),defence colony,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,13500,standard,Zen Coworks-II,3.5,12,63,Private Cabin
My First Office,visakhapatnam,"Flat No 101, Door No: 10, A Square Business Center, 28-2 1/1, Waltair Main Rd, beside Mira Collections, Waltair Uplands, Siripuram, Visakhapatnam, Andhra Pradesh 530003, India",spandana,Andhra Pradesh,siripuram,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,7000,standard,My First Office,3.9,41,79,Private Cabin
O-Launchpad,bhubaneshwar,"Plot no - F, Idco Info Park, 1, Technology Corridor, Chandaka Industrial Estate, Infocity, Patia, Bhubaneswar, Odisha 751024, India",Om Swarup,Odisha,patia,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup""]",6000,0,0,platinum,O-Launchpad,4.4,473,85,Flexi Desk
