Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
EFC Limited-Empire Tower,navi mumbai,"14th Floor, Empire Tower, Reliable cloud city, Gavate Wadi, MIDC, Airoli, Navi Mumbai, Maharashtra 400708, India",Saurabh,Maharashtra,airoli,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7999,0,0,gold,EFC Business center pvt Ltd. - navi mumbai ,4.0,18,9,Flexi Desk
Caryakshetra,chandigarh,"Plot No. 181 by 33, Plot No. 181 by, 33, Industrial Area Phase I, Chandigarh, 160002, India",Amitoz Singh,Chandigarh (UT),industrial area phase i,0,standard,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6999,8888,5000,gold,Caryakshetra,4.5,217,73,"Flexi Desk, Dedicated Desk, Private Cabin"
The Centre,bhopal,"Thrive Spaces , MP Nagar, Bhopal",Rahul,Madhya Pradesh,maharana pratap nagar,500,gold,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6000,0,0,gold,The Centre,4.4,481,72,"Day Pass, Flexi Desk"
EFC Limited - Parinee Crescenzo,mumbai,"Parinee Crescenzo, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",Saurabh,Maharashtra,bandra kurla complex,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",16000,0,0,gold,EFC Offices - Parinee Crescenzo,3.5,319,100,Flexi Desk
EFC Offices - The Centrium,mumbai,"2nd Floor, The Centrium, Lal Bahadur Shastri Marg, Ambedkar Nagar, BKC, Bhandup West, Mumbai, Maharashtra 400070, India",Saurabh,Maharashtra,bhandup west,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8999,0,0,gold,EFC Offices - The Centrium,3.7,220,59,Flexi Desk
EFC Limited-Venus Stratum,ahmedabad,"Stratum @Venus Ground 15th Floor, East Wing, Niyojan Nagar, Ambawadi, Ahmedabad, Gujarat 380015, India",Saurabh,Gujarat,niyojan nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8999,0,0,gold,EFC Limited-Venus Stratum,4.1,323,78,Flexi Desk
EFC Limited,ahmedabad,"Rajpath Rangoli Rd, behind Rajpath Club, Bodakdev, Ahmedabad, Gujarat 380054, India",Saurabh,Gujarat,bodakdev,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8500,0,0,gold,EFC LIMITED-Salister,3.8,283,39,Flexi Desk
Dongle Desk Cosmopolitan,bengaluru,"2004, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",VIJAYAKUMAR,Karnataka,indiranagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,platinum,Dongle Desk Cosmopolitan,4.6,269,10,Flexi Desk
WorkWild,hyderabad,"2nd Floor, JYOTHI PINNACLE, Hitech City Rd, Laxmi Cyber City, Whitefields, Kondapur, Telangana 500084, India",Vandana,Telangana,whitefields,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,WorkWild Innovative Workspace,3.9,469,6,Flexi Desk
Workie Tech Park,indore,"1st Floor, 6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Tech Park-1st floor,4.1,437,23,Flexi Desk
Workie Tech Park,indore,"2nd Floor, 6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Business Park,3.6,121,56,Flexi Desk
Workie Tech Park,indore,"3rd Floor, 6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Tech Park,3.7,260,63,Flexi Desk
Workie Tech Park,indore,"4th floor ,6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,scheme no 54,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Tech Park,3.8,413,37,Flexi Desk
Workie Tech Park,indore,"5th Floor, 6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Tech Park,4.3,54,36,Flexi Desk
Workie Tech Park,indore,"6th Floor, 6A/4, 19 PU3, AB Rd, next to Airen Heights, opposite C21 Mall, Behind Pakiza Mall, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452001, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie Tech Park,4.9,97,92,Flexi Desk
Workie-Krishna business centre,indore,"6th Floor, 683/3, near Medanta Road, Malviya Nagar, Indore, Madhya Pradesh 451020, India",akshay,Madhya Pradesh,malviya nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Krishna business centre,4.5,199,31,Flexi Desk
Workie-Princes' Business Skyline,indore,"6th Floor, Block No. 32 & 33, Pu-3 Commercial Scheme No.54, AB Rd, At Orbit, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010, India",Akshay,Madhya Pradesh,vijay nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Princes' Business Skyline,5.0,287,16,Flexi Desk
Workie-Princes' Business Skypark,indore,"7th Floor, Princes Business Skypark, 712-713, AB Rd, opposite Orbit Mall, LIG Colony, Indore, Madhya Pradesh 452010, India",Akshay,Madhya Pradesh,lig colony,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Princes' Business Skypark,4.7,255,12,Flexi Desk
Workie-Oasis Business Centre,indore,"No 22/20, Yeshwant Niwas Rd, Race Course Road, Indore, Madhya Pradesh 452003, India",Akshay,Madhya Pradesh,race course road,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,workie-oasis-business-centre,4.3,432,44,Flexi Desk
Innov8 Pride Plaza,delhi nct,"Innov8 Pride Plaza, Aerocity , Delhi ,110037",Vitasta George,Delhi (NCT),aerocity,0,standard,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,0,platinum,Innov8 Pride Plaza,4.3,243,61,No Offering
Workie-MA Business Centre,indore,"PVWV+923, Unnamed Road, Scheme No 54, Indore, Madhya Pradesh 452011, India",Akshay,Madhya Pradesh,scheme no 54,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-MA Business Centre,3.6,406,23,Flexi Desk
Workie,indore,"QV6P+JFP, Scheme Number 78, Vijay Nagar, Aranya Nagar, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010, India",Akshay,Madhya Pradesh,aranya nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Scheme no 78 near vrindavan cafe - workie,4.6,162,74,Flexi Desk
Workie-Atlantis Tower,indore,"Plot No. 13-A, Scheme Number 78, Part II, Part 2, Indore, Madhya Pradesh 452001",Akshay,Madhya Pradesh,"scheme 78, vijay nagar",0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Atlantis Tower,4.7,176,85,Flexi Desk
Workie-Omega Tower,indore,"2nd Floor, Omega Tower, Ware House Rd, Mechanic Nagar, Badi Bhamori, Indore, Madhya Pradesh 452002, India",Akshay,Madhya Pradesh,badi bhamori,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Omega Tower,4.8,369,56,Flexi Desk
Workie-Omega Tower,indore,"4th Floor, Omega Tower, Ware House Rd, Mechanic Nagar, Badi Bhamori, Indore, Madhya Pradesh 452002, India",Akshay,Madhya Pradesh,badi bhamori,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Omega Tower,4.8,244,85,Flexi Desk
Workie-Benchmark Building,indore,"Nera Satya Sai Square, Scheme No 54, Indore, Madhya Pradesh 452010, India",Akshay,Madhya Pradesh,scheme no 54,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,silver,Workie-Benchmark Building,4.6,200,46,Flexi Desk
Workie-NRK Tech Park,indore,"Plot No. B1, PU 4, Scheme No. 54, Vijay Nagar Square, AB Rd, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452011, India",Akshay,Madhya Pradesh,scheme no 54,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-NRK Tech Park,3.8,363,33,Flexi Desk
Workie-Brilliant Titanium,indore,"Brilliant Titanium, near Brilliant Convention Centre, Scheme Number 78, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010, India",Akshay,Madhya Pradesh,"scheme 78, vijay nagar",0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,gold,Workie-Brilliant Titanium,4.7,353,82,Flexi Desk
Workie-Onlooker building,mumbai,"12, Sir Phirozshah Mehta Rd, Borabazar Precinct, Sir Phirozshah Mehta Rd, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",Akshay,Maharashtra,ballard estate,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Onlooker building,4.6,429,62,Flexi Desk
Workie-S Square Business Point,sangli,"S Square Business Point, Regular Auto Group, NH166, Ram Nagar, Sangli, Maharashtra 416416, India",Akshay,Maharashtra,ram nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-S Square Business Point,4.3,190,74,Flexi Desk
Awfis-Godrej Waterside 2,kolkata,"12th Floor, Tower II, Godrej Waterside, DP-5, DP Block, Sector V, Bidhannagar Godrej Waterside Kolkata 700091",Hemant,West Bengal,bidhannagar,0,standard,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9500,11000,platinum,Awfis-Godrej Waterside 2,4.7,457,95,"Dedicated Desk, Private Cabin"
Workie-Business Corner,jaipur,"Business Corner, VT Rd, Ward 27, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020, India",Akshay,Rajasthan,mansarovar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Business Corner,4.7,31,96,Flexi Desk
Workie-World Trade Park,jaipur,"Jawahar Lal Nehru Marg, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017, India",Akshay,Rajasthan,malviya nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-World Trade Park,4.6,298,86,Flexi Desk
Workie-Prince Infocity,chennai,"Prince Infocity, Prince Info City I, 286/1, Rajiv Gandhi Salai, Nehru Nagar, Perungudi, Chennai, Tamil Nadu 600096, India",Akshay,Tamil Nadu,perungudi,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Prince Infocity,3.5,87,19,Flexi Desk
Workie-RVI Towers,chennai,"R I, BLOCK-B, Velachery - Tambaram Main Rd, Ram Nagar South, Madipakkam, Chennai, Tamil Nadu 600042, India",Akshay,Tamil Nadu,madipakkam,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Workie-RVI Towers,3.6,454,9,Flexi Desk
Workie-Capital Mall,bhopal,"2nd Floor, Capital Mall, 5F79+PCG, Narmadapuram Rd, Misrod, Bhopal, Madhya Pradesh 462047, India",Akshay,Madhya Pradesh,misrod,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie-Capital Mall,4.3,242,41,Flexi Desk
Workie-Bansal One,bhopal,"Platform No 1 side, Bansal One, Station, nearby Arera Colony, Zone-II, Habib Ganj, Bhopal, Madhya Pradesh 462016, India",Akshay,Madhya Pradesh,habib ganj,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Bansal One,4.8,73,8,Flexi Desk
Workie-Solitaire Business Hub,pune,"H-building, Solitaire Business Hub, opp. Neco Garden Road, Society, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",Akshay,Maharashtra,viman nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Solitaire Business Hub Viman Nagar,3.7,396,62,Flexi Desk
Workie-Matrix IT Park,pune,"GVM3+65G, Corporation Colony, Shivajinagar, Pune, Maharashtra 411005, India",Akshay,Maharashtra,shivajinagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8000,0,0,gold,Workie-Matrix IT Park,3.5,380,23,Flexi Desk
Workie-Indeco Equinox,pune,"Survey No 1, Baner Rd, opp. Royal Enfield Showroom, Baner Gaon, Baner, Pune, Maharashtra 411045, India",Akshay,Maharashtra,baner,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,silver,Workie-Indeco Equinox,4.5,357,86,Flexi Desk
Workie-Indeco Equinox,pune,"2nd Floor,  Baner Rd, opp. Royal Enfield Showroom, Baner Gaon, Baner, Pune, Maharashtra 411045, India",Akshay,Maharashtra,baner,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Indeco Equinox,3.8,199,72,Flexi Desk
Workie-Indeco Equinox,pune,"4th, 5th, 6th, Survey No 1, Baner Rd, opp. Royal Enfield Showroom, Baner Gaon, Baner, Pune, Maharashtra 411045, India",Akshay,Maharashtra,baner gaon,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-Indeco Equinox,3.7,72,42,Flexi Desk
Workie-Levana cyber heights,lucknow,"Kathauta Chauraha Rd, Vijaipur Colony, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226016, India",Akshay,Uttar Pradesh,gomti nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Levana cyber heights,4.7,445,69,Flexi Desk
Workie-Bhavya corporate tower,lucknow,"4th Floor, Bhavya Corporate Tower B, opposite Bank of Baroda, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",Akshay,Uttar Pradesh,gomti nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6500,0,0,gold,Workie-Bhavya corporate tower,4.1,210,62,Flexi Desk
Workie-PDRA Tower,lucknow,"PDRA Tower, Ayodhya Rd, opp. Shri Krishna Apartment, Anand Lok Colony, Chinhat, Lucknow, Semra, Uttar Pradesh 226028, India",Akshay,Uttar Pradesh,chinhat,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,0,gold,Workie-PDRA Tower,4.8,61,94,Flexi Desk
Workie-Condor Mirage,bengaluru,"101/1, Richmond Rd, Shanthala Nagar,, Langford Gardens, richmond circle, Langford Gardens, Bengaluru, Karnataka 560025, India",Akshay,Karnataka,langford gardens,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Workie-Condor Mirage,4.7,45,91,Flexi Desk
Workie-Vista Pixel,bengaluru,"8/2B and 8/2C, Jakkuru Layout, Jakkuru, Bengaluru, Karnataka 560092, India",Akshay,Karnataka,jakkuru,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Workie-Vista Pixel,4.0,92,72,Flexi Desk
Workie-Manyata Tech Park,bengaluru,"Service Rd, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",Akshay,Karnataka,nagavara,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Workie-Manyata Tech Park,4.1,211,28,Flexi Desk
Cove Offices,chennai,"7th & 8th Floor, Prince Infocity 1 – Old Mahabalipuram Road, 50, 1st St, Kandhanchavadi, Perungudi, Chennai, Tamil Nadu 600096, India",Manikandan,Tamil Nadu,perungudi,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Cove Offices - Perungudi,4.1,255,26,Flexi Desk
Cove Offices,bengaluru,"3rd Floor, Raheja Plaza, Richmond Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",ashwin,Karnataka,ashok nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8000,0,0,gold,Cove offices - richmond road,3.9,135,60,Flexi Desk
Cove Offices,chennai,"1st and 2nd Floors, 364X+HVG Yarlagadda Towers, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",Manikandan,Tamil Nadu,thousand lights,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Cove Office Nungabakkam,3.7,166,43,Flexi Desk
Cove Offices,chennai,"RR Tower 5, 33A South Phase developed plot, Thiru Vi Ka Industrial Estate, Chennai, Tamil Nadu 600032",Manikandan,Tamil Nadu,guindy,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,gold,Cove Offices - Guindy RR tower,4.5,87,61,Flexi Desk
Qubicle Coworking,jammu,"Plot 334, Lakkar Mandi Rd, opposite PNB Bank, Sector 1A, Trikuta Nagar, Jammu, 180012",Aditya Nanda,Jammu and Kashmir,trikuta nagar,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,8500,gold,Qubicle Coworking - jammu,4.9,374,58,"Day Pass, Flexi Desk, Private Cabin"
Happy Office,salem,"3rd floor, 161, Itteri Rd, Ram Nagar, Meyyanur, Salem, Tamil Nadu 636005, India",Preethi,Tamil Nadu,meyyanur,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,5500,gold,Happy Office,3.8,407,22,Private Cabin
Share A Space,pune,"WestEnd-one, 169/1, near WESTEND MALL, Harmony Society, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007, India",Pallavi Lodaya,Maharashtra,aundh,950,platinum+,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,10000,platinum+,Share A Space Pune,3.7,78,76,"Day Pass, Flexi Desk, Private Cabin"
Share A Space,pune,"8th Floor, Office No-806, Orville Business Port, KONARK CAMPUS, Konark Nagar, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014, India",Priyanka Bhagwat,Maharashtra,viman nagar,700,platinum,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,8500,platinum,Share A Space Viman Nagar,4.0,138,38,"Day Pass, Flexi Desk, Private Cabin"
Apnayt Coworker,jodhpur,"J1-371, RIICO Sangaria Industrial Area, Phase - IInd., Jodhpur-342013",Ashish Gupta,Rajasthan,sangriya,299,silver,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",1499,1799,5999,gold,Apnayt Coworker,5.0,360,52,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Space 2,delhi nct,"68, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi 110020",,Delhi (NCT),,0,standard,live,"[""Parking"",""Wifi"",""Printer/Scanner"",""Smoking Room"",""Locker/Storage"",""Tea/Coffee""]",0,2500,0,standard,Stylework Space,3.9,488,60,Dedicated Desk
Mexus Workspaces,surat,"106, Shree Apartment, Adajan Rd, beside Chamber of Commerce, Nanpura, Surat, Gujarat 395001",Mayur,Gujarat,machhiwar,200,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,2500,7000,gold,Mexus Workspaces,4.9,266,9,"Day Pass, Dedicated Desk, Private Cabin"
Sai Workspaces,surat,"Deepa Complex, beside Bajaj Showroom, Krishna Nagar Society, Kalpana Society Part-2, Choksi Wadi, Adajan, Surat, Gujarat 395009, India",Dharmesh ,Gujarat,adajan,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,2500,6000,silver,Sai Workspaces,4.8,184,98,"Dedicated Desk, Private Cabin"
Book My Cowork,noida,"B-8, 3rd Floor, Sector-2, Near Sector 15 Metro Station, Noida, Uttar Pradesh-201301",Tanu Choudhaary,Uttar Pradesh,sector 2,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,2999,5999,silver,Book My Cowork,3.7,277,75,"Dedicated Desk, Private Cabin"
Urban Excubator,jaipur,"147, Tonk Road Mahaveer Nagar 1st, Durgapura Railway Station Ram Mandir Marg, Tonk Rd, Shri Vihar, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018, India",Amrita,Rajasthan,durgapura,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,3000,0,standard,Urban Excubator,4.8,209,99,Dedicated Desk
